[2025-06-28 20:40:08,555][INFO] ============================================================
[2025-06-28 20:40:08,555][INFO] Dynamic Batching + Masked CE + PAD Regularization
[2025-06-28 20:40:08,555][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'learning_rate': 0.0005, 'target_batch_size': 1024, 'max_padding_ratio': 0.2, 'checkpoint_interval': 2000, 'seed': 42, 'pad_reg_weight': 0.05, 'pad_reg_start_iter': 0}
[2025-06-28 20:40:08,555][INFO] ============================================================
[2025-06-28 20:40:10,066][INFO] Iter 0: loss=0.0000, CE=0.0000, Reg=0.000000, TF=0.0003, path_acc=0.0003, newline_at_pad=5.58%
[2025-06-28 20:40:17,726][INFO] Iter 2000: loss=1.6063, CE=1.5979, Reg=0.168546, TF=0.7500, path_acc=0.7146, newline_at_pad=0.00%
[2025-06-28 20:40:25,339][INFO] Iter 4000: loss=0.6150, CE=0.6150, Reg=0.000006, TF=0.7576, path_acc=0.7271, newline_at_pad=0.00%
[2025-06-28 20:40:32,941][INFO] Iter 6000: loss=0.5812, CE=0.5812, Reg=0.000001, TF=0.7409, path_acc=0.6989, newline_at_pad=0.00%
[2025-06-28 20:40:40,514][INFO] Iter 8000: loss=0.5725, CE=0.5725, Reg=0.000001, TF=0.7458, path_acc=0.7143, newline_at_pad=0.00%
[2025-06-28 20:40:48,090][INFO] Iter 10000: loss=0.5560, CE=0.5560, Reg=0.000001, TF=0.7478, path_acc=0.7089, newline_at_pad=0.00%
[2025-06-28 20:40:55,624][INFO] Iter 12000: loss=0.5522, CE=0.5522, Reg=0.000001, TF=0.7369, path_acc=0.6997, newline_at_pad=0.13%
[2025-06-28 20:41:03,181][INFO] Iter 14000: loss=0.5538, CE=0.5538, Reg=0.000001, TF=0.7367, path_acc=0.6992, newline_at_pad=0.19%
[2025-06-28 20:41:10,857][INFO] Iter 16000: loss=0.5501, CE=0.5501, Reg=0.000001, TF=0.7460, path_acc=0.7091, newline_at_pad=1.10%
[2025-06-28 20:41:18,421][INFO] Iter 18000: loss=0.5490, CE=0.5490, Reg=0.000001, TF=0.7447, path_acc=0.7114, newline_at_pad=2.00%
[2025-06-28 20:41:25,996][INFO] Iter 20000: loss=0.5514, CE=0.5514, Reg=0.000000, TF=0.7435, path_acc=0.7074, newline_at_pad=2.07%
[2025-06-28 20:41:33,494][INFO] Iter 22000: loss=0.5384, CE=0.5384, Reg=0.000001, TF=0.7416, path_acc=0.7050, newline_at_pad=4.07%
[2025-06-28 20:41:41,163][INFO] Iter 24000: loss=0.5513, CE=0.5513, Reg=0.000001, TF=0.7532, path_acc=0.7210, newline_at_pad=1.76%
[2025-06-28 20:41:48,796][INFO] Iter 26000: loss=0.5256, CE=0.5256, Reg=0.000000, TF=0.7394, path_acc=0.6997, newline_at_pad=1.16%
[2025-06-28 20:41:56,406][INFO] Iter 28000: loss=0.5355, CE=0.5355, Reg=0.000001, TF=0.7420, path_acc=0.7024, newline_at_pad=3.57%
[2025-06-28 20:42:04,062][INFO] Iter 30000: loss=0.5410, CE=0.5410, Reg=0.000000, TF=0.7362, path_acc=0.6987, newline_at_pad=2.42%
[2025-06-28 20:42:11,785][INFO] Iter 32000: loss=0.5430, CE=0.5430, Reg=0.000001, TF=0.7429, path_acc=0.7104, newline_at_pad=1.86%
[2025-06-28 20:42:19,384][INFO] Iter 34000: loss=0.5388, CE=0.5388, Reg=0.000000, TF=0.7458, path_acc=0.7131, newline_at_pad=2.57%
[2025-06-28 20:42:27,034][INFO] Iter 36000: loss=0.5371, CE=0.5371, Reg=0.000001, TF=0.7407, path_acc=0.7005, newline_at_pad=1.46%
[2025-06-28 20:42:34,756][INFO] Iter 38000: loss=0.5316, CE=0.5316, Reg=0.000000, TF=0.7460, path_acc=0.7134, newline_at_pad=4.37%
[2025-06-28 20:42:42,405][INFO] Iter 40000: loss=0.5369, CE=0.5369, Reg=0.000000, TF=0.7390, path_acc=0.6977, newline_at_pad=4.66%
[2025-06-28 20:42:50,042][INFO] Iter 42000: loss=0.5371, CE=0.5371, Reg=0.000001, TF=0.7397, path_acc=0.7011, newline_at_pad=6.19%
[2025-06-28 20:42:57,675][INFO] Iter 44000: loss=0.5347, CE=0.5347, Reg=0.000000, TF=0.7375, path_acc=0.7038, newline_at_pad=8.54%
[2025-06-28 20:43:05,356][INFO] Iter 46000: loss=0.5395, CE=0.5395, Reg=0.000000, TF=0.7428, path_acc=0.7099, newline_at_pad=0.85%
[2025-06-28 20:43:13,007][INFO] Iter 48000: loss=0.5287, CE=0.5287, Reg=0.000000, TF=0.7432, path_acc=0.7068, newline_at_pad=8.01%
[2025-06-28 20:43:20,634][INFO] Iter 50000: loss=0.5343, CE=0.5343, Reg=0.000000, TF=0.7365, path_acc=0.6963, newline_at_pad=5.38%
[2025-06-28 20:43:28,293][INFO] Iter 52000: loss=0.5315, CE=0.5315, Reg=0.000000, TF=0.7367, path_acc=0.6926, newline_at_pad=3.23%
[2025-06-28 20:43:35,959][INFO] Iter 54000: loss=0.5363, CE=0.5363, Reg=0.000000, TF=0.7382, path_acc=0.6956, newline_at_pad=9.03%
[2025-06-28 20:43:43,635][INFO] Iter 56000: loss=0.5338, CE=0.5338, Reg=0.000000, TF=0.7422, path_acc=0.7075, newline_at_pad=8.47%
[2025-06-28 20:43:51,231][INFO] Iter 58000: loss=0.5291, CE=0.5291, Reg=0.000000, TF=0.7399, path_acc=0.7015, newline_at_pad=9.23%
[2025-06-28 20:43:58,940][INFO] Iter 60000: loss=0.5322, CE=0.5322, Reg=0.000000, TF=0.7315, path_acc=0.6907, newline_at_pad=5.02%
[2025-06-28 20:44:06,546][INFO] Iter 62000: loss=0.5337, CE=0.5337, Reg=0.000000, TF=0.7432, path_acc=0.7063, newline_at_pad=7.30%
[2025-06-28 20:44:14,167][INFO] Iter 64000: loss=0.5439, CE=0.5439, Reg=0.000000, TF=0.7350, path_acc=0.6914, newline_at_pad=5.37%
[2025-06-28 20:44:21,831][INFO] Iter 66000: loss=0.5330, CE=0.5330, Reg=0.000000, TF=0.7491, path_acc=0.7155, newline_at_pad=11.17%
[2025-06-28 20:44:29,620][INFO] Iter 68000: loss=0.5301, CE=0.5301, Reg=0.000001, TF=0.7490, path_acc=0.7190, newline_at_pad=10.54%
[2025-06-28 20:44:37,293][INFO] Iter 70000: loss=0.5297, CE=0.5297, Reg=0.000000, TF=0.7411, path_acc=0.7062, newline_at_pad=9.03%
[2025-06-28 20:44:44,944][INFO] Iter 72000: loss=0.5240, CE=0.5240, Reg=0.000000, TF=0.7529, path_acc=0.7178, newline_at_pad=9.03%
[2025-06-28 20:44:52,536][INFO] Iter 74000: loss=0.5332, CE=0.5332, Reg=0.000000, TF=0.7365, path_acc=0.6996, newline_at_pad=3.86%
[2025-06-28 20:45:00,146][INFO] Iter 76000: loss=0.5303, CE=0.5303, Reg=0.000000, TF=0.7309, path_acc=0.6901, newline_at_pad=6.80%
[2025-06-28 20:45:07,827][INFO] Iter 78000: loss=0.5332, CE=0.5332, Reg=0.000000, TF=0.7455, path_acc=0.7095, newline_at_pad=5.58%
[2025-06-28 20:45:15,416][INFO] Iter 80000: loss=0.5314, CE=0.5314, Reg=0.000000, TF=0.7355, path_acc=0.6967, newline_at_pad=12.08%
[2025-06-28 20:45:22,999][INFO] Iter 82000: loss=0.5298, CE=0.5298, Reg=0.000001, TF=0.7435, path_acc=0.7071, newline_at_pad=13.10%
[2025-06-28 20:45:30,537][INFO] Iter 84000: loss=0.5266, CE=0.5266, Reg=0.000000, TF=0.7400, path_acc=0.7017, newline_at_pad=6.38%
[2025-06-28 20:45:38,117][INFO] Iter 86000: loss=0.5292, CE=0.5292, Reg=0.000000, TF=0.7296, path_acc=0.6831, newline_at_pad=1.62%
[2025-06-28 20:45:45,673][INFO] Iter 88000: loss=0.5331, CE=0.5331, Reg=0.000000, TF=0.7309, path_acc=0.6954, newline_at_pad=3.62%
[2025-06-28 20:45:53,245][INFO] Iter 90000: loss=0.5298, CE=0.5298, Reg=0.000001, TF=0.7409, path_acc=0.7049, newline_at_pad=6.13%
[2025-06-28 20:46:00,866][INFO] Iter 92000: loss=0.5326, CE=0.5326, Reg=0.000000, TF=0.7499, path_acc=0.7145, newline_at_pad=6.13%
[2025-06-28 20:46:08,466][INFO] Iter 94000: loss=0.5284, CE=0.5284, Reg=0.000000, TF=0.7387, path_acc=0.6997, newline_at_pad=12.47%
[2025-06-28 20:46:16,094][INFO] Iter 96000: loss=0.5253, CE=0.5253, Reg=0.000000, TF=0.7516, path_acc=0.7185, newline_at_pad=14.19%
[2025-06-28 20:46:23,716][INFO] Iter 98000: loss=0.5268, CE=0.5268, Reg=0.000000, TF=0.7345, path_acc=0.6981, newline_at_pad=7.56%
[2025-06-28 20:46:31,362][INFO] Iter 100000: loss=0.5331, CE=0.5331, Reg=0.000001, TF=0.7353, path_acc=0.6957, newline_at_pad=3.69%
[2025-06-28 20:46:39,050][INFO] Iter 102000: loss=0.5337, CE=0.5337, Reg=0.000000, TF=0.7424, path_acc=0.7043, newline_at_pad=3.86%
[2025-06-28 20:46:46,719][INFO] Iter 104000: loss=0.5273, CE=0.5273, Reg=0.000000, TF=0.7423, path_acc=0.7086, newline_at_pad=9.54%
[2025-06-28 20:46:54,446][INFO] Iter 106000: loss=0.5364, CE=0.5364, Reg=0.000000, TF=0.7358, path_acc=0.6930, newline_at_pad=4.73%
[2025-06-28 20:47:02,125][INFO] Iter 108000: loss=0.5316, CE=0.5316, Reg=0.000000, TF=0.7377, path_acc=0.7019, newline_at_pad=11.37%
[2025-06-28 20:47:09,781][INFO] Iter 110000: loss=0.5234, CE=0.5234, Reg=0.000000, TF=0.7404, path_acc=0.7028, newline_at_pad=6.74%
[2025-06-28 20:47:17,567][INFO] Iter 112000: loss=0.5321, CE=0.5321, Reg=0.000000, TF=0.7373, path_acc=0.6973, newline_at_pad=6.79%
[2025-06-28 20:47:25,234][INFO] Iter 114000: loss=0.5282, CE=0.5282, Reg=0.000000, TF=0.7400, path_acc=0.7017, newline_at_pad=3.28%
