[2025-06-19 17:57:30,875][INFO] ============================================================
[2025-06-19 17:57:30,875][INFO] Spurious Rewards Experiment: diversity
[2025-06-19 17:57:30,875][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'temperature': 1.0, 'num_eval_batches': 10, 'reward_type': 'diversity', 'mixed_alpha': 0.5, 'diversity_weight': 0.1, 'phase_aware_transition': 120000, 'seed': 42, 'learning_rate': 0.0005, 'checkpoint_interval': 50000}
[2025-06-19 17:57:30,875][INFO] ============================================================
[2025-06-19 17:58:33,075][INFO] Iter 2000: train_loss=2.0978, val_loss=1.1484, TF=0.1547±0.0049, AR=0.2121, phase=early
[2025-06-19 17:59:34,208][INFO] Iter 4000: train_loss=0.6696, val_loss=1.1317, TF=0.3777±0.0130, AR=0.7949, phase=early
[2025-06-19 18:00:35,389][INFO] Iter 6000: train_loss=0.6227, val_loss=1.2317, TF=0.7462±0.0064, AR=0.8897, phase=early
[2025-06-19 18:01:36,690][INFO] Iter 8000: train_loss=0.6160, val_loss=1.2702, TF=0.9028±0.0045, AR=0.9107, phase=early
[2025-06-19 18:02:38,209][INFO] Iter 10000: train_loss=0.6125, val_loss=1.3207, TF=0.6771±0.0300, AR=0.9247, phase=stable
[2025-06-19 18:03:39,355][INFO] Iter 12000: train_loss=0.6096, val_loss=1.3252, TF=0.7748±0.0247, AR=0.9231, phase=stable
[2025-06-19 18:04:40,707][INFO] Iter 14000: train_loss=0.6068, val_loss=1.3456, TF=0.9108±0.0030, AR=0.9192, phase=memorization
[2025-06-19 18:05:42,272][INFO] Iter 16000: train_loss=0.6048, val_loss=1.3437, TF=0.8606±0.0121, AR=0.9290, phase=memorization
[2025-06-19 18:06:43,813][INFO] Iter 18000: train_loss=0.6019, val_loss=1.3689, TF=0.6951±0.0248, AR=0.9323, phase=stable
[2025-06-19 18:07:45,368][INFO] Iter 20000: train_loss=0.5999, val_loss=1.4133, TF=0.5501±0.0335, AR=0.9283, phase=transition_imminent
[2025-06-19 18:08:46,896][INFO] Iter 22000: train_loss=0.5982, val_loss=1.4095, TF=0.7089±0.0254, AR=0.9338, phase=transition_imminent
