[2025-06-18 04:45:33,812][INFO] ============================================================
[2025-06-18 04:45:33,812][INFO] Spurious Rewards Experiment: standard
[2025-06-18 04:45:33,812][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 200000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 1000, 'device': 'cuda:0', 'temperature': 1.0, 'num_eval_batches': 10, 'reward_type': 'standard', 'mixed_alpha': 0.5, 'diversity_weight': 0.1, 'phase_aware_transition': 120000, 'seed': 42, 'learning_rate': 0.0005, 'checkpoint_interval': 50000}
[2025-06-18 04:45:33,812][INFO] ============================================================
[2025-06-18 04:45:59,982][INFO] Iter 1000: train_loss=3.4535, val_loss=2.0479, TF=0.1511±0.0042, AR=0.0011, phase=early
[2025-06-18 04:46:24,898][INFO] Iter 2000: train_loss=1.2208, val_loss=1.0235, TF=0.1567±0.0075, AR=0.5458, phase=early
[2025-06-18 04:46:49,926][INFO] Iter 3000: train_loss=0.7726, val_loss=1.1075, TF=0.4969±0.0179, AR=0.8533, phase=early
[2025-06-18 04:47:14,881][INFO] Iter 4000: train_loss=0.7260, val_loss=1.1859, TF=0.4246±0.0277, AR=0.9240, phase=early
[2025-06-18 04:47:39,840][INFO] Iter 5000: train_loss=0.7145, val_loss=1.2555, TF=0.8754±0.0095, AR=0.9392, phase=memorization
[2025-06-18 04:48:04,985][INFO] Iter 6000: train_loss=0.7096, val_loss=1.2958, TF=0.9112±0.0036, AR=0.9523, phase=memorization
[2025-06-18 04:48:30,104][INFO] Iter 7000: train_loss=0.7064, val_loss=1.3092, TF=0.9123±0.0030, AR=0.9590, phase=memorization
[2025-06-18 04:48:55,293][INFO] Iter 8000: train_loss=0.7042, val_loss=1.3379, TF=0.9142±0.0028, AR=0.9582, phase=memorization
[2025-06-18 04:49:20,400][INFO] Iter 9000: train_loss=0.7021, val_loss=1.3744, TF=0.9096±0.0044, AR=0.9546, phase=memorization
[2025-06-18 04:49:45,544][INFO] Iter 10000: train_loss=0.6999, val_loss=1.3757, TF=0.9125±0.0029, AR=0.9588, phase=memorization
[2025-06-18 04:50:10,659][INFO] Iter 11000: train_loss=0.6975, val_loss=1.3927, TF=0.9128±0.0030, AR=0.9562, phase=memorization
[2025-06-18 04:50:35,749][INFO] Iter 12000: train_loss=0.6941, val_loss=1.3919, TF=0.9100±0.0048, AR=0.9561, phase=memorization
[2025-06-18 04:51:00,895][INFO] Iter 13000: train_loss=0.6915, val_loss=1.4105, TF=0.9118±0.0032, AR=0.9572, phase=memorization
[2025-06-18 04:51:25,846][INFO] Iter 14000: train_loss=0.6896, val_loss=1.4475, TF=0.9128±0.0022, AR=0.9593, phase=memorization
[2025-06-18 04:51:50,865][INFO] Iter 15000: train_loss=0.6878, val_loss=1.4606, TF=0.9118±0.0026, AR=0.9588, phase=memorization
[2025-06-18 04:52:15,839][INFO] Iter 16000: train_loss=0.6864, val_loss=1.4352, TF=0.9126±0.0045, AR=0.9568, phase=memorization
[2025-06-18 04:52:40,793][INFO] Iter 17000: train_loss=0.6849, val_loss=1.4562, TF=0.9119±0.0033, AR=0.9587, phase=memorization
[2025-06-18 04:53:05,858][INFO] Iter 18000: train_loss=0.6836, val_loss=1.4972, TF=0.9110±0.0031, AR=0.9590, phase=memorization
[2025-06-18 04:53:30,876][INFO] Iter 19000: train_loss=0.6830, val_loss=1.4816, TF=0.9110±0.0026, AR=0.9601, phase=memorization
[2025-06-18 04:53:55,948][INFO] Iter 20000: train_loss=0.6822, val_loss=1.4851, TF=0.9101±0.0029, AR=0.9600, phase=memorization
[2025-06-18 04:54:20,985][INFO] Iter 21000: train_loss=0.6814, val_loss=1.4946, TF=0.9124±0.0037, AR=0.9653, phase=memorization
[2025-06-18 04:54:45,984][INFO] Iter 22000: train_loss=0.6808, val_loss=1.5222, TF=0.9123±0.0043, AR=0.9622, phase=memorization
[2025-06-18 04:55:11,069][INFO] Iter 23000: train_loss=0.6802, val_loss=1.5210, TF=0.9129±0.0021, AR=0.9644, phase=memorization
[2025-06-18 04:55:36,078][INFO] Iter 24000: train_loss=0.6801, val_loss=1.5067, TF=0.9114±0.0025, AR=0.9635, phase=memorization
[2025-06-18 04:56:01,138][INFO] Iter 25000: train_loss=0.6799, val_loss=1.4879, TF=0.9115±0.0033, AR=0.9656, phase=memorization
[2025-06-18 04:56:26,102][INFO] Iter 26000: train_loss=0.6795, val_loss=1.5314, TF=0.9128±0.0020, AR=0.9665, phase=memorization
[2025-06-18 04:56:51,055][INFO] Iter 27000: train_loss=0.6788, val_loss=1.5260, TF=0.9111±0.0017, AR=0.9653, phase=memorization
[2025-06-18 04:57:16,064][INFO] Iter 28000: train_loss=0.6785, val_loss=1.5145, TF=0.9121±0.0037, AR=0.9660, phase=memorization
[2025-06-18 04:57:41,045][INFO] Iter 29000: train_loss=0.6782, val_loss=1.5172, TF=0.9113±0.0034, AR=0.9636, phase=memorization
[2025-06-18 04:58:06,090][INFO] Iter 30000: train_loss=0.6780, val_loss=1.5237, TF=0.9117±0.0043, AR=0.9695, phase=memorization
[2025-06-18 04:58:31,151][INFO] Iter 31000: train_loss=0.6781, val_loss=1.5273, TF=0.9109±0.0044, AR=0.9640, phase=memorization
[2025-06-18 04:58:56,289][INFO] Iter 32000: train_loss=0.6779, val_loss=1.5155, TF=0.9105±0.0039, AR=0.9692, phase=memorization
[2025-06-18 04:59:21,437][INFO] Iter 33000: train_loss=0.6775, val_loss=1.5538, TF=0.9104±0.0034, AR=0.9679, phase=memorization
[2025-06-18 04:59:46,615][INFO] Iter 34000: train_loss=0.6771, val_loss=1.5127, TF=0.9132±0.0035, AR=0.9684, phase=memorization
[2025-06-18 05:00:11,817][INFO] Iter 35000: train_loss=0.6766, val_loss=1.5258, TF=0.9099±0.0030, AR=0.9682, phase=memorization
[2025-06-18 05:00:36,926][INFO] Iter 36000: train_loss=0.6766, val_loss=1.5250, TF=0.9109±0.0029, AR=0.9733, phase=memorization
[2025-06-18 05:01:02,077][INFO] Iter 37000: train_loss=0.6769, val_loss=1.5316, TF=0.9125±0.0042, AR=0.9694, phase=memorization
[2025-06-18 05:01:27,134][INFO] Iter 38000: train_loss=0.6766, val_loss=1.5138, TF=0.9112±0.0029, AR=0.9686, phase=memorization
[2025-06-18 05:01:52,217][INFO] Iter 39000: train_loss=0.6765, val_loss=1.5273, TF=0.9112±0.0034, AR=0.9721, phase=memorization
[2025-06-18 05:02:17,337][INFO] Iter 40000: train_loss=0.6761, val_loss=1.5380, TF=0.9116±0.0046, AR=0.9726, phase=memorization
[2025-06-18 05:02:42,423][INFO] Iter 41000: train_loss=0.6758, val_loss=1.5330, TF=0.9115±0.0023, AR=0.9706, phase=memorization
[2025-06-18 05:03:07,571][INFO] Iter 42000: train_loss=0.6761, val_loss=1.5479, TF=0.9125±0.0033, AR=0.9680, phase=memorization
[2025-06-18 05:03:32,670][INFO] Iter 43000: train_loss=0.6758, val_loss=1.5449, TF=0.9108±0.0036, AR=0.9720, phase=memorization
[2025-06-18 05:03:57,882][INFO] Iter 44000: train_loss=0.6753, val_loss=1.5454, TF=0.9113±0.0027, AR=0.9689, phase=memorization
[2025-06-18 05:04:23,196][INFO] Iter 45000: train_loss=0.6757, val_loss=1.5647, TF=0.9126±0.0027, AR=0.9738, phase=memorization
[2025-06-18 05:04:48,441][INFO] Iter 46000: train_loss=0.6753, val_loss=1.5414, TF=0.9137±0.0040, AR=0.9718, phase=memorization
[2025-06-18 05:05:13,756][INFO] Iter 47000: train_loss=0.6753, val_loss=1.5427, TF=0.9118±0.0035, AR=0.9707, phase=memorization
[2025-06-18 05:05:39,004][INFO] Iter 48000: train_loss=0.6751, val_loss=1.5343, TF=0.9093±0.0026, AR=0.9724, phase=memorization
