[2025-06-28 16:51:04,129][INFO] ============================================================
[2025-06-28 16:51:04,129][INFO] Spurious Rewards Experiment: standard
[2025-06-28 16:51:04,129][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'temperature': 1.0, 'num_eval_batches': 10, 'reward_type': 'standard', 'mixed_alpha': 0.5, 'diversity_weight': 0.1, 'phase_aware_transition': 120000, 'seed': 42, 'learning_rate': 0.0005, 'checkpoint_interval': 5000}
[2025-06-28 16:51:04,129][INFO] ============================================================
[2025-06-28 16:51:54,459][INFO] Iter 2000: train_loss=2.6566, val_loss=1.0944, TF_all=0.1564, TF_masked=0.7301, AR=0.2672, phase=early, newline_at_pad=83.15%
[2025-06-28 16:52:43,617][INFO] Iter 4000: train_loss=0.7933, val_loss=1.1303, TF_all=0.4860, TF_masked=0.7257, AR=0.8787, phase=early, newline_at_pad=57.80%
[2025-06-28 16:53:32,867][INFO] Iter 6000: train_loss=0.7164, val_loss=1.2587, TF_all=0.8632, TF_masked=0.7350, AR=0.9471, phase=early, newline_at_pad=10.23%
[2025-06-28 16:54:22,139][INFO] Iter 8000: train_loss=0.7067, val_loss=1.3095, TF_all=0.9123, TF_masked=0.7314, AR=0.9546, phase=early, newline_at_pad=3.96%
[2025-06-28 16:55:11,585][INFO] Iter 10000: train_loss=0.7026, val_loss=1.3650, TF_all=0.9121, TF_masked=0.7337, AR=0.9585, phase=memorization, newline_at_pad=3.97%
[2025-06-28 16:56:00,869][INFO] Iter 12000: train_loss=0.6989, val_loss=1.3827, TF_all=0.9130, TF_masked=0.7358, AR=0.9591, phase=memorization, newline_at_pad=3.96%
[2025-06-28 16:56:50,216][INFO] Iter 14000: train_loss=0.6955, val_loss=1.4063, TF_all=0.9110, TF_masked=0.7282, AR=0.9614, phase=memorization, newline_at_pad=3.97%
[2025-06-28 16:57:39,467][INFO] Iter 16000: train_loss=0.6927, val_loss=1.4300, TF_all=0.9118, TF_masked=0.7289, AR=0.9555, phase=memorization, newline_at_pad=3.96%
[2025-06-28 16:58:28,743][INFO] Iter 18000: train_loss=0.6886, val_loss=1.4459, TF_all=0.9129, TF_masked=0.7375, AR=0.9626, phase=memorization, newline_at_pad=3.97%
[2025-06-28 16:59:18,059][INFO] Iter 20000: train_loss=0.6856, val_loss=1.4708, TF_all=0.9127, TF_masked=0.7329, AR=0.9612, phase=memorization, newline_at_pad=3.95%
[2025-06-28 17:00:07,706][INFO] Iter 22000: train_loss=0.6833, val_loss=1.4897, TF_all=0.9113, TF_masked=0.7257, AR=0.9672, phase=memorization, newline_at_pad=3.95%
