[2025-06-26 01:39:45,228][INFO] ============================================================
[2025-06-26 01:39:45,228][INFO] Spurious Rewards Experiment: standard_entropy
[2025-06-26 01:39:45,228][INFO] Configuration: {'dataset': 'simple_graph', 'n_layer': 1, 'n_head': 1, 'n_embd': 120, 'max_iters': 300000, 'num_nodes': 100, 'num_of_paths': 20, 'test_interval': 2000, 'device': 'cuda:0', 'temperature': 1.0, 'num_eval_batches': 10, 'reward_type': 'standard_entropy', 'mixed_alpha': 0.5, 'diversity_weight': 0.1, 'phase_aware_transition': 120000, 'seed': 42, 'learning_rate': 0.0005, 'checkpoint_interval': 50000}
[2025-06-26 01:39:45,228][INFO] ============================================================
[2025-06-26 01:40:36,286][INFO] Iter 2000: train_loss=2.2852, val_loss=1.1260, TF=0.1547±0.0048, AR=0.2149, phase=early
[2025-06-26 01:41:26,168][INFO] Iter 4000: train_loss=0.6945, val_loss=1.1163, TF=0.6469±0.0104, AR=0.7927, phase=early
[2025-06-26 01:42:16,116][INFO] Iter 6000: train_loss=0.6415, val_loss=1.2169, TF=0.9003±0.0048, AR=0.8908, phase=early
[2025-06-26 01:43:06,017][INFO] Iter 8000: train_loss=0.6343, val_loss=1.2562, TF=0.9122±0.0037, AR=0.9102, phase=early
[2025-06-26 01:43:55,947][INFO] Iter 10000: train_loss=0.6308, val_loss=1.3073, TF=0.7089±0.0265, AR=0.9204, phase=stable
[2025-06-26 01:44:45,916][INFO] Iter 12000: train_loss=0.6276, val_loss=1.3114, TF=0.8369±0.0126, AR=0.9176, phase=stable
[2025-06-26 01:45:35,950][INFO] Iter 14000: train_loss=0.6246, val_loss=1.3312, TF=0.8526±0.0131, AR=0.9158, phase=memorization
[2025-06-26 01:46:25,966][INFO] Iter 16000: train_loss=0.6220, val_loss=1.3368, TF=0.6328±0.0221, AR=0.9219, phase=transition_imminent
[2025-06-26 01:47:15,961][INFO] Iter 18000: train_loss=0.6184, val_loss=1.3611, TF=0.8913±0.0079, AR=0.9294, phase=memorization
[2025-06-26 01:48:06,160][INFO] Iter 20000: train_loss=0.6159, val_loss=1.3899, TF=0.9116±0.0051, AR=0.9304, phase=memorization
[2025-06-26 01:48:56,395][INFO] Iter 22000: train_loss=0.6140, val_loss=1.3823, TF=0.9104±0.0030, AR=0.9304, phase=memorization
[2025-06-26 01:49:46,668][INFO] Iter 24000: train_loss=0.6127, val_loss=1.4032, TF=0.9104±0.0039, AR=0.9360, phase=memorization
[2025-06-26 01:50:36,984][INFO] Iter 26000: train_loss=0.6121, val_loss=1.4050, TF=0.9134±0.0038, AR=0.9353, phase=memorization
[2025-06-26 01:51:27,369][INFO] Iter 28000: train_loss=0.6110, val_loss=1.4129, TF=0.9110±0.0019, AR=0.9400, phase=memorization
[2025-06-26 01:52:17,733][INFO] Iter 30000: train_loss=0.6103, val_loss=1.3847, TF=0.9127±0.0020, AR=0.9384, phase=memorization
[2025-06-26 01:53:08,028][INFO] Iter 32000: train_loss=0.6102, val_loss=1.4125, TF=0.9122±0.0034, AR=0.9391, phase=memorization
[2025-06-26 01:53:58,264][INFO] Iter 34000: train_loss=0.6096, val_loss=1.4276, TF=0.9133±0.0028, AR=0.9431, phase=memorization
[2025-06-26 01:54:48,575][INFO] Iter 36000: train_loss=0.6088, val_loss=1.4060, TF=0.9122±0.0033, AR=0.9461, phase=memorization
[2025-06-26 01:55:38,914][INFO] Iter 38000: train_loss=0.6089, val_loss=1.4335, TF=0.9136±0.0021, AR=0.9410, phase=memorization
[2025-06-26 01:56:29,265][INFO] Iter 40000: train_loss=0.6085, val_loss=1.4263, TF=0.9117±0.0023, AR=0.9430, phase=memorization
[2025-06-26 01:57:19,615][INFO] Iter 42000: train_loss=0.6082, val_loss=1.4292, TF=0.9107±0.0042, AR=0.9467, phase=memorization
[2025-06-26 01:58:09,967][INFO] Iter 44000: train_loss=0.6080, val_loss=1.4333, TF=0.9097±0.0032, AR=0.9459, phase=memorization
[2025-06-26 01:59:00,089][INFO] Iter 46000: train_loss=0.6078, val_loss=1.4369, TF=0.9118±0.0030, AR=0.9437, phase=memorization
[2025-06-26 01:59:50,253][INFO] Iter 48000: train_loss=0.6076, val_loss=1.4205, TF=0.9104±0.0053, AR=0.9448, phase=memorization
[2025-06-26 02:00:40,429][INFO] Iter 50000: train_loss=0.6072, val_loss=1.4707, TF=0.9115±0.0026, AR=0.9388, phase=memorization
[2025-06-26 02:01:30,537][INFO] Iter 52000: train_loss=0.6073, val_loss=1.4500, TF=0.9104±0.0041, AR=0.9499, phase=memorization
[2025-06-26 02:02:20,711][INFO] Iter 54000: train_loss=0.6072, val_loss=1.4514, TF=0.9101±0.0032, AR=0.9432, phase=memorization
[2025-06-26 02:03:10,985][INFO] Iter 56000: train_loss=0.6070, val_loss=1.4585, TF=0.9123±0.0018, AR=0.9479, phase=memorization
[2025-06-26 02:04:01,298][INFO] Iter 58000: train_loss=0.6071, val_loss=1.4379, TF=0.9136±0.0034, AR=0.9473, phase=memorization
[2025-06-26 02:04:51,644][INFO] Iter 60000: train_loss=0.6070, val_loss=1.4622, TF=0.9119±0.0051, AR=0.9484, phase=memorization
[2025-06-26 02:05:41,987][INFO] Iter 62000: train_loss=0.6066, val_loss=1.4457, TF=0.9118±0.0029, AR=0.9461, phase=memorization
[2025-06-26 02:06:32,216][INFO] Iter 64000: train_loss=0.6065, val_loss=1.4424, TF=0.9127±0.0031, AR=0.9497, phase=memorization
[2025-06-26 02:07:22,442][INFO] Iter 66000: train_loss=0.6065, val_loss=1.4215, TF=0.9124±0.0032, AR=0.9487, phase=memorization
[2025-06-26 02:08:12,656][INFO] Iter 68000: train_loss=0.6066, val_loss=1.4510, TF=0.9130±0.0024, AR=0.9485, phase=memorization
[2025-06-26 02:09:02,935][INFO] Iter 70000: train_loss=0.6062, val_loss=1.4725, TF=0.9106±0.0029, AR=0.9528, phase=memorization
[2025-06-26 02:09:53,164][INFO] Iter 72000: train_loss=0.6062, val_loss=1.4312, TF=0.9122±0.0035, AR=0.9544, phase=memorization
[2025-06-26 02:10:43,411][INFO] Iter 74000: train_loss=0.6060, val_loss=1.4623, TF=0.9122±0.0027, AR=0.9470, phase=memorization
[2025-06-26 02:11:33,709][INFO] Iter 76000: train_loss=0.6060, val_loss=1.4384, TF=0.9113±0.0038, AR=0.9514, phase=memorization
[2025-06-26 02:12:23,762][INFO] Iter 78000: train_loss=0.6057, val_loss=1.4635, TF=0.9118±0.0023, AR=0.9466, phase=memorization
[2025-06-26 02:13:13,796][INFO] Iter 80000: train_loss=0.6057, val_loss=1.4411, TF=0.9111±0.0025, AR=0.9493, phase=memorization
[2025-06-26 02:14:03,897][INFO] Iter 82000: train_loss=0.6056, val_loss=1.4674, TF=0.9115±0.0036, AR=0.9478, phase=memorization
[2025-06-26 02:14:54,060][INFO] Iter 84000: train_loss=0.6056, val_loss=1.4514, TF=0.9130±0.0035, AR=0.9520, phase=memorization
[2025-06-26 02:15:44,329][INFO] Iter 86000: train_loss=0.6053, val_loss=1.4507, TF=0.9118±0.0026, AR=0.9537, phase=memorization
[2025-06-26 02:16:34,568][INFO] Iter 88000: train_loss=0.6055, val_loss=1.4736, TF=0.9110±0.0016, AR=0.9458, phase=memorization
[2025-06-26 02:17:24,825][INFO] Iter 90000: train_loss=0.6054, val_loss=1.4438, TF=0.9117±0.0020, AR=0.9528, phase=memorization
[2025-06-26 02:18:15,042][INFO] Iter 92000: train_loss=0.6054, val_loss=1.4398, TF=0.9111±0.0040, AR=0.9513, phase=memorization
[2025-06-26 02:19:05,258][INFO] Iter 94000: train_loss=0.6050, val_loss=1.4530, TF=0.9122±0.0034, AR=0.9545, phase=memorization
[2025-06-26 02:19:55,468][INFO] Iter 96000: train_loss=0.6051, val_loss=1.4601, TF=0.9094±0.0031, AR=0.9525, phase=memorization
[2025-06-26 02:20:45,688][INFO] Iter 98000: train_loss=0.6049, val_loss=1.4779, TF=0.9114±0.0026, AR=0.9502, phase=memorization
[2025-06-26 02:21:35,969][INFO] Iter 100000: train_loss=0.6050, val_loss=1.4659, TF=0.9120±0.0017, AR=0.9485, phase=memorization
[2025-06-26 02:22:26,183][INFO] Iter 102000: train_loss=0.6049, val_loss=1.4795, TF=0.9104±0.0031, AR=0.9493, phase=memorization
[2025-06-26 02:23:16,470][INFO] Iter 104000: train_loss=0.6048, val_loss=1.4686, TF=0.9117±0.0021, AR=0.9534, phase=memorization
[2025-06-26 02:24:06,794][INFO] Iter 106000: train_loss=0.6049, val_loss=1.4662, TF=0.9103±0.0028, AR=0.9481, phase=memorization
[2025-06-26 02:24:57,107][INFO] Iter 108000: train_loss=0.6047, val_loss=1.4737, TF=0.9123±0.0039, AR=0.9503, phase=memorization
[2025-06-26 02:25:47,458][INFO] Iter 110000: train_loss=0.6045, val_loss=1.4484, TF=0.9117±0.0033, AR=0.9529, phase=memorization
[2025-06-26 02:26:37,832][INFO] Iter 112000: train_loss=0.6044, val_loss=1.4628, TF=0.9113±0.0039, AR=0.9514, phase=memorization
[2025-06-26 02:27:28,147][INFO] Iter 114000: train_loss=0.6045, val_loss=1.4608, TF=0.9127±0.0037, AR=0.9536, phase=memorization
[2025-06-26 02:28:18,505][INFO] Iter 116000: train_loss=0.6046, val_loss=1.4574, TF=0.9107±0.0030, AR=0.9530, phase=memorization
[2025-06-26 02:29:08,763][INFO] Iter 118000: train_loss=0.6043, val_loss=1.4661, TF=0.9115±0.0032, AR=0.9544, phase=memorization
[2025-06-26 02:29:59,047][INFO] Iter 120000: train_loss=0.6041, val_loss=1.4718, TF=0.9119±0.0055, AR=0.9512, phase=memorization
[2025-06-26 02:30:49,380][INFO] Iter 122000: train_loss=0.6043, val_loss=1.4585, TF=0.9121±0.0032, AR=0.9476, phase=memorization
[2025-06-26 02:31:39,717][INFO] Iter 124000: train_loss=0.6042, val_loss=1.4853, TF=0.9096±0.0030, AR=0.9527, phase=memorization
[2025-06-26 02:32:30,033][INFO] Iter 126000: train_loss=0.6041, val_loss=1.4953, TF=0.9112±0.0032, AR=0.9490, phase=memorization
[2025-06-26 02:33:20,394][INFO] Iter 128000: train_loss=0.6040, val_loss=1.4763, TF=0.9117±0.0029, AR=0.9514, phase=memorization
[2025-06-26 02:34:10,794][INFO] Iter 130000: train_loss=0.6040, val_loss=1.4931, TF=0.9097±0.0030, AR=0.9544, phase=memorization
[2025-06-26 02:35:01,104][INFO] Iter 132000: train_loss=0.6040, val_loss=1.4956, TF=0.9127±0.0032, AR=0.9468, phase=memorization
[2025-06-26 02:35:51,440][INFO] Iter 134000: train_loss=0.6039, val_loss=1.4505, TF=0.9111±0.0047, AR=0.9551, phase=memorization
[2025-06-26 02:36:41,758][INFO] Iter 136000: train_loss=0.6036, val_loss=1.4802, TF=0.9126±0.0024, AR=0.9578, phase=memorization
[2025-06-26 02:37:32,096][INFO] Iter 138000: train_loss=0.6038, val_loss=1.4780, TF=0.9104±0.0022, AR=0.9489, phase=memorization
[2025-06-26 02:38:22,423][INFO] Iter 140000: train_loss=0.6036, val_loss=1.4662, TF=0.9114±0.0031, AR=0.9508, phase=memorization
[2025-06-26 02:39:12,778][INFO] Iter 142000: train_loss=0.6035, val_loss=1.4789, TF=0.9125±0.0025, AR=0.9500, phase=memorization
